X,Y,Z,DENS,E,NU
-12.3919,-68.427,-987.336,610.534,2.50733e+06,N/A
-5.69625,-66.3925,-978.12,-276.499,-nan(ind),N/A
12.3445,-62.2813,-967.208,610.534,2.50733e+06,N/A
-20.601,-66.4941,-987.829,610.534,2.50733e+06,N/A
2.93153,-76.3033,-983.85,120.242,455276,N/A
10.9729,-92.1203,-968.109,25.368,88862.2,N/A
-17.8032,-87.612,-982.397,25.368,88862.2,N/A
-0.563775,-93.9581,-970.644,-276.499,-nan(ind),N/A
-14.5478,-74.3726,-962.736,610.534,2.50733e+06,N/A
6.30288,-92.6055,-971.567,-276.499,-nan(ind),N/A
5.3784,-83.9364,-988.808,610.534,2.50733e+06,N/A
-7.22157,-81.0592,-970.603,-276.499,-nan(ind),N/A
1.9394,-72.6994,-985.292,56.4218,205701,N/A
3.03335,-89.1003,-989.674,610.534,2.50733e+06,N/A
21.1093,-73.7732,-975.609,610.534,2.50733e+06,N/A
-1.0775,-65.7425,-967.652,610.534,2.50733e+06,N/A
-1.08822,-84.4728,-975.311,-276.499,-nan(ind),N/A
15.027,-69.5286,-976.577,610.534,2.50733e+06,N/A
-18.0563,-60.9382,-969.226,56.4218,205701,N/A
-20.4831,-68.7867,-972.001,-276.499,-nan(ind),N/A
-3.0323,-62.6054,-990.69,610.534,2.50733e+06,N/A
-24.6962,-82.4678,-989.212,610.534,2.50733e+06,N/A
-7.31367,-78.3558,-976.07,-276.499,-nan(ind),N/A
12.1838,-75.19,-970.727,-276.499,-nan(ind),N/A
-4.30475,-85.1408,-990.027,610.534,2.50733e+06,N/A
12.8606,-71.3606,-986.192,610.534,2.50733e+06,N/A
-21.5012,-76.8977,-982.935,-276.499,-nan(ind),N/A
17.0148,-75.8273,-989.021,610.534,2.50733e+06,N/A
9.54847,-93.256,-993.543,610.534,2.50733e+06,N/A
-19.7456,-87.513,-965.065,610.534,2.50733e+06,N/A
12.3766,-77.4867,-978.501,-276.499,-nan(ind),N/A
6.2546,-92.9103,-969.382,-276.499,-nan(ind),N/A
-15.9684,-88.9599,-968.202,610.534,2.50733e+06,N/A
-20.6711,-73.4541,-963.872,610.534,2.50733e+06,N/A
-7.91453,-79.7891,-972.12,-276.499,-nan(ind),N/A
-10.7073,-63.6681,-965.936,120.242,455276,N/A
10.6852,-90.4254,-972.993,-276.499,-nan(ind),N/A
2.38143,-91.127,-989.926,610.534,2.50733e+06,N/A
9.93463,-64.2998,-967.683,610.534,2.50733e+06,N/A
-6.09987,-73.0804,-965.353,610.534,2.50733e+06,N/A
10.0615,-63.678,-966.789,120.242,455276,N/A
21.9936,-82.2309,-969.985,-276.499,-nan(ind),N/A
-3.03115,-76.9838,-966.789,-276.499,-nan(ind),N/A
